"Ativo","Data","Patrim Liq| Em moeda orig| em milhares| consolid:sim*"
"GRAO3<XBSP>","4T2023",137611
"GRAO3<XBSP>","1T2024",135089
"GRAO3<XBSP>","2T2024",137862
"AGXY3<XBSP>","1T2010","-"
"AGXY3<XBSP>","2T2010","-"
"AGXY3<XBSP>","3T2010","-"
"AGXY3<XBSP>","4T2010","-"
"AGXY3<XBSP>","1T2011","-"
"AGXY3<XBSP>","2T2011","-"
"AGXY3<XBSP>","3T2011","-"
"AGXY3<XBSP>","4T2011","-"
"AGXY3<XBSP>","1T2012","-"
"AGXY3<XBSP>","2T2012","-"
"AGXY3<XBSP>","3T2012","-"
"AGXY3<XBSP>","4T2012","-"
"AGXY3<XBSP>","1T2013","-"
"AGXY3<XBSP>","2T2013","-"
"AGXY3<XBSP>","3T2013","-"
"AGXY3<XBSP>","4T2013","-"
"AGXY3<XBSP>","1T2014","-"
"AGXY3<XBSP>","2T2014","-"
"AGXY3<XBSP>","3T2014","-"
"AGXY3<XBSP>","4T2014","-"
"AGXY3<XBSP>","1T2015","-"
"AGXY3<XBSP>","2T2015","-"
"AGXY3<XBSP>","3T2015","-"
"AGXY3<XBSP>","4T2015","-"
